,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
515,2019-05-29,29.0,29.32,27.73,28.09,28.09,99969600,3.4175827696689205
516,2019-05-30,28.4,28.559998999999998,27.6,28.030001000000002,28.030001000000002,65289100,0.21405279293424817
517,2019-05-31,27.57,28.360001,27.4,27.41,27.41,68667800,2.2619518423932945
518,2019-06-03,28.75,29.620001000000002,27.290001,27.58,27.58,147532200,-0.6163886874546707
519,2019-06-04,28.389999,29.59,27.91,29.57,29.57,107549500,-6.729793709841061
520,2019-06-05,29.93,29.99,29.030001000000002,29.5,29.5,79481500,0.2372881355932213
521,2019-06-06,29.870001000000002,31.98,29.84,31.82,31.82,131267800,-7.291011942174734
522,2019-06-07,31.940001000000002,32.599998,31.57,32.41,32.41,86841100,-1.8204257945078568
523,2019-06-10,33.529999,34.299999,33.080002,33.23,33.23,97668800,-2.4676497141137537
524,2019-06-11,33.43,33.490002000000004,31.82,32.41,32.41,82834900,2.530083307621106
525,2019-06-12,32.0,32.57,31.92,32.18,32.18,56194100,0.7147296457426876
526,2019-06-13,32.389998999999996,32.5,31.059998999999998,31.389999,31.389999,63556000,2.516728337582936
527,2019-06-14,30.700001,30.959999,30.02,30.360001,30.360001,70373000,3.3926151715212365
528,2019-06-17,30.25,30.450001,29.18,29.200001,29.200001,70865700,3.972602603677994
529,2019-06-18,29.76,30.969998999999998,29.58,30.450001,30.450001,86444500,-4.105090177172737
530,2019-06-19,30.67,30.790001,30.059998999999998,30.5,30.5,63233900,-0.16393114754098256
531,2019-06-20,31.24,31.360001,29.84,30.01,30.01,72418200,1.6327890703098913
532,2019-06-21,29.65,30.35,28.969998999999998,29.1,29.1,81861300,3.127147766323024
533,2019-06-24,29.32,29.4,28.67,29.26,29.26,55724800,-0.5468215994531789
534,2019-06-25,29.26,29.719998999999998,28.799999,28.860001,28.860001,53680900,1.3859978729730504
535,2019-06-26,29.98,30.48,29.780001000000002,29.92,29.92,65064200,-3.5427774064171165
536,2019-06-27,30.41,30.959999,30.209999,30.74,30.74,55623300,-2.6675341574495666
537,2019-06-28,31.08,31.110001,30.33,30.370001000000002,30.370001000000002,50090900,1.21830420749738
538,2019-07-01,31.790001,32.040001000000004,30.870001000000002,31.200001,31.200001,60525500,-2.660256324991779
539,2019-07-02,30.959999,31.26,30.73,31.24,31.24,37721700,-0.12803777208706185
540,2019-07-03,31.129998999999998,31.33,30.74,31.190001000000002,31.190001000000002,23462000,0.1603045796631944
541,2019-07-05,30.879998999999998,31.559998999999998,30.75,31.5,31.5,34011900,-0.9841238095238023
542,2019-07-08,31.799999,32.150002,31.26,32.040001000000004,32.040001000000004,49689400,-1.6853963269227228
543,2019-07-09,31.76,33.18,30.1,33.150002,33.150002,61419800,-3.348419104167767
544,2019-07-10,33.560001,34.029999,33.360001000000004,33.790001000000004,33.790001000000004,60388400,-1.894048479016035
545,2019-07-11,33.91,34.0,32.759997999999996,33.060001,33.060001,63081800,2.2081064062883846
546,2019-07-12,32.759997999999996,33.389998999999996,32.59,33.209998999999996,33.209998999999996,51509700,-0.4516651746963213
547,2019-07-15,33.34,34.549999,33.27,34.389998999999996,34.389998999999996,65565200,-3.4312301084975307
548,2019-07-16,34.299999,34.860001000000004,33.799999,33.849998,33.849998,66912700,1.5952763128671281
549,2019-07-17,34.009997999999996,34.299999,33.490002000000004,33.599998,33.599998,42557900,0.7440476633361705
550,2019-07-18,33.029999,33.459998999999996,32.419998,33.0,33.0,58610900,1.8181757575757556
551,2019-07-19,33.080002,33.349998,32.450001,32.509997999999996,32.509997999999996,44617700,1.5072347897406948
552,2019-07-22,32.799999,33.310001,32.740002000000004,32.849998,32.849998,37777300,-1.0350076733642524
553,2019-07-23,33.169998,33.5,32.93,33.490002000000004,33.490002000000004,38532500,-1.9110300441307964
554,2019-07-24,33.639998999999996,34.360001000000004,33.450001,34.110001000000004,34.110001000000004,41952300,-1.8176457983686365
555,2019-07-25,34.049999,34.25,33.619999,33.669998,33.669998,36705600,1.306810294434839
556,2019-07-26,34.23,34.77,33.869999,34.02,34.02,43502800,-1.0288124632569178
557,2019-07-29,34.139998999999996,34.18,32.98,33.48,33.48,45922000,1.6129032258064704
558,2019-07-30,33.209998999999996,33.939999,32.939999,33.869999,33.869999,72198900,-1.1514585518588385
559,2019-07-31,32.080002,32.299999,30.299999,30.450001,30.450001,119190000,11.231520156600322
560,2019-08-01,30.5,31.48,29.1,29.860001,29.860001,80878900,1.975887408711071
561,2019-08-02,29.48,29.73,28.940001000000002,29.440001000000002,29.440001000000002,59778900,1.4266303863236898
562,2019-08-05,28.26,28.49,27.65,27.99,27.99,74333200,5.180425151839957
563,2019-08-06,28.860001,29.049999,28.200001,28.860001,28.860001,60578400,-3.014556375102004
564,2019-08-07,28.469998999999998,29.280001000000002,28.370001000000002,29.190001000000002,29.190001000000002,58577500,-1.1305241133770494
565,2019-08-08,31.530001000000002,34.27,31.48,33.919998,33.919998,167278800,-13.94456744956175
566,2019-08-09,33.450001,35.549999,33.080002,34.189999,34.189999,132483900,-0.7897075399154022
567,2019-08-12,34.16,34.650002,32.080002,32.43,32.43,106737000,5.427070613629358
568,2019-08-13,32.360001000000004,33.139998999999996,31.719998999999998,32.110001000000004,32.110001000000004,102009700,0.9965711305957159
569,2019-08-14,31.0,31.049999,29.51,30.24,30.24,127521500,6.183865740740759
570,2019-08-15,30.629998999999998,30.73,29.209999,29.67,29.67,71674400,1.9211324570272894
571,2019-08-16,30.309998999999998,31.48,30.209999,31.18,31.18,70469800,-4.842847979474016
572,2019-08-19,32.0,32.189999,31.42,31.48,31.48,67596900,-0.9529860228716668
573,2019-08-20,30.940001000000002,31.309998999999998,30.450001,30.719998999999998,30.719998999999998,47924000,2.4739616690742814
574,2019-08-21,31.049999,31.74,30.84,31.700001,31.700001,41441500,-3.0914888614672362
575,2019-08-22,31.76,31.92,30.98,31.9,31.9,47667900,-0.6269561128526591
576,2019-08-23,31.299999,31.83,29.4,29.540001,29.540001,83681100,7.989163575180645
577,2019-08-26,30.34,30.719998999999998,29.940001000000002,30.280001000000002,30.280001000000002,50612500,-2.443857250863373
578,2019-08-27,30.6,30.889999,29.6,30.200001,30.200001,53229200,0.26490065348011693
579,2019-08-28,29.92,31.18,29.700001,30.780001000000002,30.780001000000002,55835900,-1.884340419612078
580,2019-08-29,31.469998999999998,31.83,31.33,31.450001,31.450001,44422800,-2.130365592039244
581,2019-08-30,31.6,31.870001000000002,31.129998999999998,31.450001,31.450001,40307000,0.0
582,2019-09-03,30.83,31.139999,30.68,30.9,30.9,38029300,1.7799385113268666
583,2019-09-04,31.32,31.83,30.85,30.950001,30.950001,46614600,-0.161554114327821
584,2019-09-05,31.790001,32.049999,31.120001000000002,31.5,31.5,57861200,-1.7460285714285702
585,2019-09-06,31.5,31.51,30.48,30.559998999999998,30.559998999999998,51673000,3.0759196032696283
586,2019-09-09,30.93,31.18,30.24,30.5,30.5,54413200,0.19671803278687766
587,2019-09-10,30.219998999999998,30.379998999999998,29.77,30.23,30.23,48604800,0.8931524975190194
588,2019-09-11,30.379998999999998,30.43,29.51,29.76,29.76,50631700,1.5793010752688135
589,2019-09-12,30.08,30.84,29.950001,30.209999,30.209999,53618300,-1.489569728221435
